image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,5,0.901661,truck,bus,False
drive_022,2,1,0.902782,car,car,True
drive_022,3,3,0.854274,car,car,True
drive_022,4,4,0.79712,van,car,False
drive_022,5,2,0.917608,bus,van,False
drive_033,5,9,0.932161,car,car,True
drive_033,6,4,0.83045,car,car,True
drive_033,7,3,0.881743,car,car,True
drive_033,12,5,0.880002,car,car,True
drive_033,13,7,0.836818,car,car,True
drive_033,14,8,0.89272,car,car,True
drive_033,15,6,0.789637,car,car,True
drive_033,18,11,0.936955,car,car,True
drive_033,19,2,0.871134,truck,bus,False
drive_033,20,12,0.873632,bus,van,False
drive_033,21,10,0.806979,car,car,True
drive_033,24,1,0.976921,bus,van,False
drive_038,3,6,0.804158,car,car,True
drive_038,4,7,0.889417,car,car,True
drive_038,5,8,0.869657,car,car,True
drive_038,6,10,0.87473,car,car,True
drive_038,7,11,0.845636,car,car,True
drive_038,8,12,0.762099,car,car,True
drive_038,9,13,0.89586,car,car,True
drive_038,10,14,0.807848,car,car,True
drive_038,18,16,0.865175,car,car,True
drive_038,19,17,0.874856,car,car,True
drive_038,20,5,0.920093,truck,bus,False
drive_038,21,9,0.88749,truck,bus,False
drive_038,22,15,0.905061,van,truck,False
drive_038,32,2,0.943683,car,car,True
drive_038,33,3,0.929184,car,car,True
drive_038,34,4,0.944847,car,car,True
drive_038,35,1,0.959836,car,car,True
drive_008,1,11,0.951908,car,car,True
drive_008,2,6,0.88491,car,car,True
drive_008,3,16,0.931949,car,car,True
drive_008,4,2,0.891954,car,car,True
drive_008,5,12,0.900429,van,truck,False
drive_008,6,3,0.925573,van,truck,False
drive_008,7,5,0.880602,van,truck,False
drive_008,14,15,0.158277,car,car,True
drive_008,15,14,0.81284,car,car,True
drive_008,16,13,0.629688,car,car,True
drive_008,17,7,0.781648,car,car,True
drive_008,20,1,0.901161,truck,bus,False
drive_008,23,9,0.97265,bus,van,False
drive_008,27,4,0.782898,car,car,True
